timestamp,temperature
Wed Feb 28 21:53:06 2018,30.0
Wed Feb 28 21:59:25 2018,30.125
Wed Feb 28 22:30:02 2018,27.125
Wed Feb 28 23:00:02 2018,28.437
Wed Feb 28 23:30:01 2018,28.875
Thu Mar  1 00:00:02 2018,29.125
Thu Mar  1 00:30:02 2018,29.187
Thu Mar  1 01:00:02 2018,29.25
Thu Mar  1 01:30:02 2018,29.312
Thu Mar  1 02:00:02 2018,29.375
Thu Mar  1 02:30:01 2018,29.375
Thu Mar  1 03:00:01 2018,29.375
Thu Mar  1 03:30:02 2018,29.437
Thu Mar  1 04:00:02 2018,29.375
Thu Mar  1 04:30:02 2018,29.437
Thu Mar  1 05:00:01 2018,29.375
Thu Mar  1 05:30:02 2018,29.5
Thu Mar  1 06:00:02 2018,29.437
Thu Mar  1 06:30:02 2018,29.5
Thu Mar  1 07:00:01 2018,29.562
Thu Mar  1 07:30:02 2018,29.625
Thu Mar  1 08:00:02 2018,29.812
Thu Mar  1 08:30:02 2018,29.562
Thu Mar  1 09:00:01 2018,29.437
Thu Mar  1 09:30:02 2018,29.437
Thu Mar  1 10:00:02 2018,29.437
Thu Mar  1 10:30:02 2018,29.375
Thu Mar  1 11:00:01 2018,29.5
Thu Mar  1 11:30:02 2018,29.437
Thu Mar  1 12:00:02 2018,29.5
Thu Mar  1 12:30:02 2018,29.625
Thu Mar  1 13:00:02 2018,29.625
Thu Mar  1 13:30:02 2018,29.562
Thu Mar  1 14:00:02 2018,29.625
Thu Mar  1 14:30:02 2018,29.625
Thu Mar  1 15:00:02 2018,29.687
Thu Mar  1 15:30:01 2018,29.625
Thu Mar  1 16:00:02 2018,29.687
Thu Mar  1 16:30:02 2018,29.812
Thu Mar  1 16:45:02 2018,29.875
Thu Mar  1 17:00:02 2018,29.812
Thu Mar  1 17:15:02 2018,29.812
Thu Mar  1 17:30:02 2018,29.875
Thu Mar  1 17:45:02 2018,29.687
Thu Mar  1 18:00:02 2018,29.625
Thu Mar  1 18:15:01 2018,29.562
Thu Mar  1 18:30:02 2018,29.625
Thu Mar  1 18:45:02 2018,29.625
Thu Mar  1 19:00:02 2018,29.562
Thu Mar  1 19:15:01 2018,29.562
Thu Mar  1 19:30:02 2018,29.562
Thu Mar  1 19:45:02 2018,29.687
Thu Mar  1 20:00:02 2018,29.812
Thu Mar  1 20:15:01 2018,30.125
Thu Mar  1 20:30:02 2018,30.125
Thu Mar  1 20:45:02 2018,30.125
Thu Mar  1 21:00:02 2018,30.25
Thu Mar  1 21:15:01 2018,30.312
Thu Mar  1 21:30:02 2018,29.937
Thu Mar  1 21:45:02 2018,29.812
Thu Mar  1 22:00:02 2018,30.0
Thu Mar  1 22:15:01 2018,29.75
Thu Mar  1 22:30:02 2018,29.687
Thu Mar  1 22:45:02 2018,29.687
Thu Mar  1 23:00:02 2018,29.687
Thu Mar  1 23:15:01 2018,29.75
Thu Mar  1 23:30:02 2018,29.687
Thu Mar  1 23:45:02 2018,29.75
Fri Mar  2 00:00:02 2018,29.875
Fri Mar  2 00:15:01 2018,29.75
Fri Mar  2 00:30:02 2018,28.937
Fri Mar  2 00:45:02 2018,29.437
Fri Mar  2 01:00:02 2018,29.437
Fri Mar  2 01:15:02 2018,29.437
Fri Mar  2 01:30:02 2018,29.562
Fri Mar  2 01:45:02 2018,29.562
Fri Mar  2 02:00:01 2018,29.562
Fri Mar  2 02:15:02 2018,29.562
Fri Mar  2 02:30:02 2018,29.625
Fri Mar  2 02:45:02 2018,29.625
Fri Mar  2 03:00:01 2018,29.625
Fri Mar  2 03:15:01 2018,29.625
Fri Mar  2 03:30:02 2018,29.625
Fri Mar  2 03:45:02 2018,29.625
Fri Mar  2 04:00:02 2018,29.687
Fri Mar  2 04:15:01 2018,29.625
Fri Mar  2 04:30:02 2018,29.625
Fri Mar  2 04:45:02 2018,29.625
Fri Mar  2 05:00:02 2018,29.687
Fri Mar  2 05:15:01 2018,29.687
Fri Mar  2 05:30:02 2018,29.625
Fri Mar  2 05:45:02 2018,29.625
